What kind of library is the Teensy Command Server?	A copy-and-extend firmware template. A board dev copies it and registers plain functions as commands/telemetry/hooks; the library owns all networking: TCP, NDJSON framing, schema, telemetry push, e-stop, heartbeat.	TeensyCommandServer TeensyCommandServer::architecture
What is the one rule for how the controller talks to a board?	The controller only interacts with the board through registered functions. If a capability is not in the schema, it cannot be called.	TeensyCommandServer TeensyCommandServer::architecture
Do board developers write any networking or JSON code?	No. The library handles TCP, framing, JSON parse/serialize, schema, dispatch, response formatting, telemetry push, e-stop and heartbeat. Devs supply identity, registrations, handlers, telemetry values, and safe-state hooks.	TeensyCommandServer TeensyCommandServer::architecture
How is the board's schema produced?	It is GENERATED from the same registration metadata used for dispatch (contract 5.3), never hand-written. That prevents the declared schema from drifting from callable behavior.	TeensyCommandServer TeensyCommandServer::architecture
Name the four source layers and their dependency direction.	support (std lib only) then api (public types) then core (protocol engine) then platform (QNEthernet adapter). A layer may depend only on layers to its left.	TeensyCommandServer TeensyCommandServer::architecture
What is the critical layering invariant?	src/core and src/api never include QNEthernet or Arduino networking types. All platform I/O lives in src/platform/qnethernet. Time enters core via an injected Clock, I/O via an injected Transport, so core is host-testable.	TeensyCommandServer TeensyCommandServer::architecture
What is the entire public surface of the library?	src/TeensyCommandServer.h (the facade) plus src/api/*. Everything in src/core and src/platform is a private implementation detail.	TeensyCommandServer TeensyCommandServer::architecture
Why fixed-capacity with no per-message heap allocation?	The Teensy has no MMU and runs for days; heap fragmentation is a real failure mode (contract 11). All buffers are sized at compile time in src/support/Limits.h.	TeensyCommandServer TeensyCommandServer::fixed_capacity
What does 'schema-first' mean?	The schema is the FIRST message the board sends on every controller connection, unsolicited. It advertises the board's commands, telemetry, and state.	TeensyCommandServer TeensyCommandServer::protocol
List the wire message types.	schema, command, response, telemetry, event (estop_triggered / estop_ack), and heartbeat.	TeensyCommandServer TeensyCommandServer::protocol
How is telemetry delivered, and why does it matter?	Unsolicited push about every 50 ms while a session is active; never requested. It IS the liveness signal: if it stops, the controller declares the board lost. It must keep flowing even during e-stop.	TeensyCommandServer TeensyCommandServer::protocol
What are the only two board response statuses?	Exactly ok and error. Never timeout. New failure modes are contract 17 error codes, never new statuses.	TeensyCommandServer TeensyCommandServer::protocol
What is the wire framing format?	Newline-delimited JSON (NDJSON): one compact JSON object per line, terminated by a newline.	TeensyCommandServer TeensyCommandServer::protocol
What does the board do with controller_ts?	Copies it into the response untouched: never interprets, compares, or persists it. It is a controller round-trip token and is not exposed to handlers.	TeensyCommandServer TeensyCommandServer::protocol
What are the four V1 argument/field value types?	Int (signed 32-bit), Float (finite JSON number; reject NaN/Inf), Bool, String. No nested objects.	TeensyCommandServer TeensyCommandServer::api
